[09:17:56.219 18/12/1990]	N	0.383	V	[09:17:56.602 18/12/1990]
[09:17:56.602 18/12/1990]	V	1.031	N	[09:17:57.633 18/12/1990]
[09:17:57.633 18/12/1990]	N	0.711	N	[09:17:58.344 18/12/1990]
[09:17:58.344 18/12/1990]	N	0.367	V	[09:17:58.711 18/12/1990]
[09:17:58.711 18/12/1990]	V	1.039	N	[09:17:59.750 18/12/1990]
[09:17:59.750 18/12/1990]	N	0.695	N	[09:18:00.445 18/12/1990]
[09:18:00.445 18/12/1990]	N	0.711	N	[09:18:01.156 18/12/1990]
[09:18:01.156 18/12/1990]	N	0.711	N	[09:18:01.867 18/12/1990]
[09:18:01.867 18/12/1990]	N	0.383	V	[09:18:02.250 18/12/1990]
[09:18:02.250 18/12/1990]	V	1.070	N	[09:18:03.320 18/12/1990]
[09:18:03.320 18/12/1990]	N	0.719	N	[09:18:04.039 18/12/1990]
[09:18:04.039 18/12/1990]	N	0.727	N	[09:18:04.766 18/12/1990]
[09:18:04.766 18/12/1990]	N	0.727	N	[09:18:05.492 18/12/1990]
[09:18:05.492 18/12/1990]	N	0.383	V	[09:18:05.875 18/12/1990]
[09:18:05.875 18/12/1990]	V	1.078	N	[09:18:06.953 18/12/1990]
[09:18:06.953 18/12/1990]	N	0.727	N	[09:18:07.680 18/12/1990]
[09:18:07.680 18/12/1990]	N	0.742	N	[09:18:08.422 18/12/1990]
[09:18:08.422 18/12/1990]	N	0.750	N	[09:18:09.172 18/12/1990]
[09:18:09.172 18/12/1990]	N	0.758	N	[09:18:09.930 18/12/1990]
[09:18:09.930 18/12/1990]	N	0.766	N	[09:18:10.695 18/12/1990]
[09:18:10.695 18/12/1990]	N	0.750	N	[09:18:11.445 18/12/1990]
[09:18:11.445 18/12/1990]	N	0.742	N	[09:18:12.188 18/12/1990]
[09:18:12.188 18/12/1990]	N	0.750	N	[09:18:12.938 18/12/1990]
[09:18:12.938 18/12/1990]	N	0.734	N	[09:18:13.672 18/12/1990]
[09:18:13.672 18/12/1990]	N	0.742	N	[09:18:14.414 18/12/1990]
[09:18:14.414 18/12/1990]	N	0.727	N	[09:18:15.141 18/12/1990]
[09:18:15.141 18/12/1990]	N	0.734	N	[09:18:15.875 18/12/1990]
[09:18:15.875 18/12/1990]	N	0.719	N	[09:18:16.594 18/12/1990]
[09:18:16.594 18/12/1990]	N	0.711	N	[09:18:17.305 18/12/1990]
[09:18:17.305 18/12/1990]	N	0.719	N	[09:18:18.023 18/12/1990]
[09:18:18.023 18/12/1990]	N	0.711	N	[09:18:18.734 18/12/1990]
[09:18:18.734 18/12/1990]	N	0.703	N	[09:18:19.438 18/12/1990]
[09:18:19.438 18/12/1990]	N	0.719	N	[09:18:20.156 18/12/1990]
[09:18:20.156 18/12/1990]	N	0.727	N	[09:18:20.883 18/12/1990]
[09:18:20.883 18/12/1990]	N	0.383	V	[09:18:21.266 18/12/1990]
[09:18:21.266 18/12/1990]	V	1.055	N	[09:18:22.320 18/12/1990]
